osm_id,osm_type,name,category,subcategory,latitude,longitude,alamat,phone,website,opening_hours,cuisine,brand,is_minimarket_brand,tipe_fasilitas,name_lower
4150989116,node,WTC Mangga Dua Side Entrance,shop,mall,-6.1334711,106.8310053,"Jl. Mangga Dua Raya No.No.8, RW.5, Ancol, Pademangan, North Jakarta, 14430",,,,,,False,minimarket,wtc mangga dua side entrance
4150995836,node,"Plaza Kuningan, Menara Selatan",shop,mall,-6.2172229,106.8311781,"Jalan Hajjah R. Rasuna Said, South Jakarta, 12940",,,,,,False,minimarket,"plaza kuningan, menara selatan"
4152512520,node,Mall Daan Mogot,shop,mall,-6.1515769,106.7147796,"Jl. Daan Mogot Km. 16, Kalideres ,West Jakarta, 11840",,,,,,False,minimarket,mall daan mogot
4152518407,node,Mall Artha Gading,shop,mall,-6.1451585,106.8914384,"Jl. Artha Gading Selatan No.No.1, North Jakarta, 14240",,,,,,False,minimarket,mall artha gading
4152540737,node,Maple Park,shop,mall,-6.1499503,106.8574825,"Jl. Danau Sunter Barat No.RT.18/RW.5, North Jakarta, 14310",,,,,,False,minimarket,maple park
4152690689,node,La Piazza,shop,mall,-6.1595135,106.9063562,"Jl. Bulevar Kelapa Gading No.Blok M, Kelapa Gading, North Jakarta, 14240",,,,,,False,minimarket,la piazza
4160664209,node,Lippo Mall Puri 2 Alternative Entrance/ Exit,shop,mall,-6.1869209,106.7395077,"Jl. Puri Indah Raya Blok U 1,, Puri Indah, Kembangan, West Jakarta, 11610",,,,,,False,minimarket,lippo mall puri 2 alternative entrance/ exit
4160704519,node,Px Pavilion,shop,mall,-6.1883364,106.7379433,"Jl.Puri Indah Raya Boulevard Blok U1 ,, West Jakarta, 11610",,,,,,False,minimarket,px pavilion
4160750876,node,St.Moritz,shop,mall,-6.1904283,106.7405525,"Jalan Puri Lingkar Luar, West Jakarta, 11610",,,,,,False,minimarket,st.moritz
4234975281,node,7-Eleven,shop,convenience,-6.137717,106.8145808,"Jl. Taman Stasiun Kota No. 1, West Jakarta, 11110",,,,,7-Eleven,False,minimarket,7-eleven
4234979365,node,7-Eleven,shop,convenience,-6.2201426,106.8151098,"Jl. Jend. Sudirman Kav. 50, Semanggi, South Jakarta, 12930",,,,,7-Eleven,False,minimarket,7-eleven
4235068189,node,Alfamart,shop,convenience,-6.1942741,106.7918549,"Jl. Anggrek Rosliana, RT.2/RW.1, Kemanggisan, 11420",,,,,Alfamart,True,minimarket,alfamart
4235070611,node,Alfamart,shop,convenience,-6.1873546,106.8001811,"Jl. Andong I No.RT.9/RW.8,, Kota Bambu, Palmerah West Jakarta, 11420",,,,,Alfamart,True,minimarket,alfamart
4235072589,node,Alfamart,shop,convenience,-6.1346522,106.812262,"Taman Fatahilah Kota Tua, Jl. Pintu Besar Utara No.No. 31/3, Kali Besar, Kota, West Jakarta, 11110",,,,,Alfamart,True,minimarket,alfamart
4235081019,node,"All Fresh, Kayu Putih",shop,convenience,-6.1796909,106.8919144,"Jalan Kayu Putih Raya, Korean Town Pulomas,, Kayu Putih, East Jakarta, 13210",,,,,,False,minimarket,"all fresh, kayu putih"
4240729618,node,Super Indo,shop,supermarket,-6.1979154,106.7447329,"Jl. Meruya Ilir, west jakarta, 11620",,,,,Super Indo,False,minimarket,super indo
4240734876,node,Super Indo,shop,supermarket,-6.1369305,106.8732689,"Jl. Danau Sunter Utara, DKI Jakarta, 14350",,,,,Super Indo,False,minimarket,super indo
4240747870,node,Mahaka Square,shop,mall,-6.1501786,106.902724,"Jl. Raya Kelapa Nias HF 3, North Jakarta, 14240",,,,,,False,minimarket,mahaka square
4240988243,node,Jameson's Supermarket,shop,supermarket,-6.1979634,106.7459683,"Meruya Ilir Blok A2 No.1, west jakarta, 11620",,,,,,False,minimarket,jameson's supermarket
4242286152,node,Lotus Department Store,shop,department_store,-6.1867173,106.8239286,"Jalan M.H. Thamrin No.9, DKI Jakarta, 10340",,,,,,False,minimarket,lotus department store
4242290016,node,Lotte Mart Ratu Plaza (Main Entrance),shop,mall,-6.2269146,106.8014175,"Jalan Jend. Sudirman No.9, Tanah Abang, Central Jakarta, 10270",,,,,,False,minimarket,lotte mart ratu plaza (main entrance)
4242314085,node,Puri Indah Mall (Back Entrance),shop,mall,-6.1876634,106.7348738,"Jl. Puri Agung, Kembangan Selatan, West Jakarta, 11610",,,,,,False,minimarket,puri indah mall (back entrance)
4242315785,node,Mall Kelapa Gading 3 Main Entrance,shop,mall,-6.1569905,106.9077406,"Jl. Bulevard Timur No.1, Kelapa Gading, North Jakarta, 14240",,,,,,False,minimarket,mall kelapa gading 3 main entrance
4242315906,node,Mall Kelapa Gading 2 Main Entrance,shop,mall,-6.1583087,106.9070504,"Jl. Bulevard Timur No.1, Kelapa Gading, North Jakarta, 14240",,,,,,False,minimarket,mall kelapa gading 2 main entrance
4242316417,node,Mall Kelapa Gading 1 Main Entrance,shop,mall,-6.159001,106.9066252,"Jl. Bulevard Timur No.1, Kelapa Gading, North Jakarta, 14240",,,,,,False,minimarket,mall kelapa gading 1 main entrance
4242318761,node,Puri Indah Mall (Main Entrance),shop,mall,-6.1889967,106.7346829,"Jl. Puri Agung, Kembangan Selatan, West Jakarta, 11610",,,,,,False,minimarket,puri indah mall (main entrance)
4242324302,node,FamilyMart,shop,convenience,-6.173972,106.788251,"Jalan Tanjung Duren Raya, West Jakarta, 11470",,https://familymartindonesia.com/,24/7,,FamilyMart,False,minimarket,familymart
4242536764,node,Rezeki Supermarket,shop,convenience,-6.1656073,106.8206551,"Jalan Hayam Wuruk No.2 A, Harmoni, Central Jakarta, 10710",,,,,,False,minimarket,rezeki supermarket
4242555864,node,K3 Mart,shop,convenience,-6.2277033,106.8095487,,,,,,,False,minimarket,k3 mart
4242671776,node,Toko Kemanggisan,shop,convenience,-6.1871359,106.787199,"Jalan Kemanggisan Ilir, west Jakarta, 11480",,,,,,False,minimarket,toko kemanggisan
4243784631,node,Mini Stop Gandaria,shop,convenience,-6.2457901,106.7840517,"Jl. Kyai Moh. Syafii Hadzami No.45, Kebayoran Lama, South Jakarta, 12240",,,,,,False,minimarket,mini stop gandaria
4243858060,node,Papaya Fresh Gallery Melawai,shop,convenience,-6.2457486,106.7988178,"Jl. Melawai No.28, Kebayoran Baru, South Jakarta, 12160",,,,,,False,minimarket,papaya fresh gallery melawai
4244014955,node,Pasaraya,shop,mall,-6.2454046,106.8040288,"Jalan Sultan Iskandarsyah 2 No.2, Kebayoran Baru, South Jakarta, 12160",,,,,,False,minimarket,pasaraya
4247790076,node,Alfamart,shop,convenience,-6.2003634,106.8235293,"Jalan Blora, Central Jakarta, 10510",,,,,Alfamart,True,minimarket,alfamart
4253817260,node,All Fresh PIK,shop,supermarket,-6.1166783,106.756376,"Jalan Pantai Utara II Kav. C1, Pantai Indah Kapuk, RT.2/RW.7, Kapuk Muara, Kec. Penjaringan, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14460, North Jakarta, 14450",,,,,,False,minimarket,all fresh pik
4253822935,node,Jakarta Fruit Market Pluit,shop,supermarket,-6.1220081,106.7914785,"Pluit Putera Raya No.10, North Jakarta, 14450",,,,,,False,minimarket,jakarta fruit market pluit
4253827420,node,Prima Fresh Mart Meruya,shop,supermarket,-6.1982317,106.7372431,"Meruya Utara, West Jakarta, 11620",,,,,,False,minimarket,prima fresh mart meruya
4253829062,node,Resto Ever Fresh Market,shop,supermarket,-6.2009586,106.8093205,"Jalan Penjernihan, Central Jakarta, 10210",,,,,,False,minimarket,resto ever fresh market
4253831072,node,Prima Fresh Market Sunter,shop,supermarket,-6.1372826,106.8711443,"Jalan Danau Sunter Utara, North Jakarta, 14350",,,,,,False,minimarket,prima fresh market sunter
4253847424,node,Total Buah Segar RS Fatmawati,shop,supermarket,-6.2877128,106.7951937,"Jalan RS Fatmawati, South Jakarta, 12430",,,,,,False,minimarket,total buah segar rs fatmawati
